county,subcounty,ward,lat,lon,altitude,annual_Rain,annual_Temp,ke_elev,ke_ph,LR_Rain,LR_Temp,SR_Rain,SR_Temp
Kisii,Nyaribari Chache  Sub County,Keumbu Ward,-0.737217825,34.84178689,1919.618408,1839,18.25866699,1924,5.489999771,1173,18.19942856,666,18.34160042
Nakuru,Naivasha  Sub County,Viwandani Ward,-0.741913131,36.39631143,1881,631,17.0340004,1883,NA,398,16.99600029,233,17.08720016
Nyamira,Masaba North Sub County,Rigoma Ward,-0.742017322,34.92845715,1942.205566,1719,17.93199921,1987,5.480000019,1100,17.8942852,619,17.98480034
Kisii,Bomachoge Chache Sub County,Majoge Basi Ward,-0.746459136,34.69642369,1580.049927,1665,20.12266731,1588,5.460000038,1060,20.05828667,605,20.21280098
Kisii,South Mugirango Sub County,Tabaka Ward,-0.746762036,34.65181775,1672.210449,1624,20.32299995,1660,5.409999847,1033,20.25657082,591,20.41600037
Migori,Rongo Sub County,East Kamagambo Ward,-0.74702878,34.5627278,1408.961792,1467,21.09600067,1416,5.559999943,929,21.02342796,538,21.19759941
Kisii,Nyaribari Chache  Sub County,Kiogoro Ward,-0.74743297,34.79209765,1806.770752,1888,18.82466698,1794,5.429999828,1204,18.76114273,684,18.91359901
Muranga,Kigumo Sub County,Kinyona Ward,-0.75437355,36.85569868,2147.803467,1770,15.30433369,2120,5.230000019,1138,15.18571472,632,15.47039986
Bomet,Bomet Central Sub County,Silibwet Township Ward,-0.755738084,35.32750675,2014.207397,1262,17.44233322,2036,5.630000114,807,17.43657112,455,17.4503994
Muranga,Kiharu Sub County,Mugoiri Ward,-0.759692922,37.03258913,1590.572388,1401,18.63466644,1621,5.510000229,877,18.44628525,524,18.89839935
Nyamira,Borabu Sub County,Nyansiongo Ward,-0.761486074,35.00343994,1922.709839,1575,17.99633408,1910,5.579999924,1011,17.95028687,564,18.06080055
Migori,Rongo Sub County,Central Kamagambo Ward,-0.761805424,34.60350876,1486.502808,1604,20.64966583,1490,5.550000191,1022,20.58114243,582,20.74559975
NYANDARUA,Kinangop Sub County,Githabai Ward,-0.761979598,36.57161389,2587.208496,1182,12.78966713,2587,6.159999847,743,12.67599964,439,12.94880009
Kisii,Nyaribari Chache  Sub County,Birongo Ward,-0.762365241,34.87919075,1943.036011,1759,17.96533394,1899,5.460000038,1120,17.91942787,639,18.02960014
Nakuru,Naivasha  Sub County,Lake View Ward,-0.763984648,36.46222964,2078.266602,784,15.69966698,2071,6.690000057,489,15.60914326,295,15.8263998
GARISSA,Fafi Sub County,Nanighi Ward,-0.764071768,40.08693166,138,383,27.82666588,139,7.519999981,184,27.74399948,199,27.94239998
Bomet,Bomet East Sub County,Merigi Ward,-0.764686287,35.42217269,2105.732666,1237,16.22566605,2133,5.53000021,806,16.20457077,431,16.25519943
Bomet,Sotik Sub County,Kipsonoi Ward,-0.77099926,35.16737837,1824.539917,1329,18.19499969,1827,5.659999847,846,18.18000031,483,18.2159996
Bomet,Bomet Central Sub County,Mutarakwa  Ward,-0.771410438,35.24561893,1862.336548,1317,17.98033333,1861,5.679999828,838,17.97200012,479,17.99200058
Kisii,Bobasi Sub County,Sameta Mokwerero Ward,-0.776002197,34.76231857,1839.910645,1878,18.92766571,1878,5.320000172,1186,18.86228561,692,19.01919937
Kisii,Nyaribari Chache  Sub County,Ibeno Ward,-0.777052386,34.83900636,1778.716919,1837,18.65233421,1784,5.449999809,1170,18.60114288,667,18.72400093
Homa Bay,Ndhiwa Sub County,Kwabwai Ward,-0.780181111,34.27188746,1407.987427,1210,21.70299911,1413,6.179999828,691,21.6091423,519,21.83440018
NYANDARUA,Kinangop Sub County,Nyakio Ward,-0.782853185,36.63173152,2573.081299,1354,12.65933323,2572,5.889999866,869,12.57885742,485,12.77200031
Muranga,Muranga South Sub County,Nginda Ward,-0.783024799,37.11290044,1378.009033,1168,19.63333321,1382,5.840000153,714,19.40285683,454,19.95599937
Kisii,Bobasi Sub County,Bobasi Boitangare Ward,-0.789884922,34.8109216,1807.50415,1894,19.08499908,1810,5.369999886,1206,19.02285767,688,19.17199898
Kisii,Nyaribari Masaba Sub County,Ichuni Ward,-0.790349623,34.91666534,1956.537476,1759,17.96533394,1927,5.539999962,1120,17.91942787,639,18.02960014
Nakuru,Naivasha  Sub County,Maeilla Ward,-0.79099024,36.28269552,1910.963013,658,17.15299988,1910,6.800000191,433,17.08857155,225,17.2432003
Homa Bay,Ndhiwa Sub County,Kanyadoto Ward,-0.792961348,34.34007165,1281.479492,1323,21.75666618,1283,6.130000114,797,21.66571426,526,21.88400078
Homa Bay,Ndhiwa Sub County,Kanyikela Ward,-0.795758752,34.3761244,1309.955566,1342,21.70433426,1258,5.929999828,815,21.61657143,527,21.82719994
Muranga,Muranga South Sub County,Ichagaki Ward,-0.797701579,37.13834801,1362.528687,1094,19.97599983,1362,5.960000038,664,19.75485802,430,20.28560066
Muranga,Gatanga Sub County,Kariara Ward,-0.800034568,36.76557588,2230.112061,1706,14.19699955,2314,5.070000172,1110,14.06571484,596,14.38079929
Bomet,Bomet East Sub County,Kembu Ward,-0.800071603,35.43211755,2045.942017,1197,16.60766602,2057,5.610000134,776,16.57314301,421,16.65600014
